edinburgh,504.49500499500505,129.37012987012986
stockholm,1689.3101898101897,105.3941058941059
petrograd,2506.493006993007,193.30619380619373
riga,2032.9665334665335,193.30619380619373
kobenhavn,1397.601898101898,327.1723276723276
danzig,1799.2002997002999,455.04445554445556
london,694.3051948051946,558.9405594405594
amsterdam,970.0294705294707,578.9205794205793
essen,1205.7937062937065,616.8826173826174
berlin,1479.51998001998,666.8326673326674
warszawa,1937.0624375624377,650.8486513486514
wilno,2254.7447552447557,580.9185814185814
smolensk,2542.457042957043,602.8966033966035
moskva,2788.211288711289,532.9665334665335
brest,398.60089910089914,904.594905094905
dieppe,658.3411588411589,828.6708291708292
bruxelles,906.0934065934064,718.7807192807193
frankfurt,1161.8376623376623,818.6808191808193
munchen,1321.677822177822,944.5549450549452
paris,804.1953046953047,954.544955044955
wien,1643.356143856144,996.5029970029971
kyiv,2368.6308691308695,810.6888111888113
budapest,1781.2182817182818,1068.431068931069
kharkov,2756.243256743257,968.5309690309691
zurich,1135.8636363636363,1122.377122877123
venezia,1369.62987012987,1212.2872127872129
zagreb,1607.3921078921078,1252.2472527472528
bucuresti,2216.7827172827174,1284.2152847152847
rostov,2868.131368631369,1120.3791208791208
sevastopol,2612.3871128871133,1324.1753246753246
sochi,2862.1373626373625,1374.1253746253747
sarajevo,1849.1503496503499,1424.0754245754247
marseille,1055.9435564435564,1388.1113886113885
roma,1393.6058941058943,1472.0274725274726
brindisi,1641.3581418581418,1555.9435564435566
pamplona,612.3871128871131,1400.0994005994007
madrid,324.6748251748252,1633.8656343656344
barcelona,650.3491508491509,1659.8396603396604
lisboa,120.87862137862135,1693.8056943056945
cadiz,314.6848151848151,1849.6498501498502
palermo,1501.4980019980019,1863.6358641358643
athina,2000.9985014985016,1787.7117882117882
constantinople,2364.6348651348653,1635.8636363636365
smyrna,2246.752747252747,1873.6258741258741
angora,2588.411088911089,1803.6958041958042
erzurum,2818.1813186813188,1739.7597402597403
sofia,2044.9545454545453,1456.0434565434566
