,positive,negative,false_positive,false_negative
Red,0.08035714285714286,0.8883928571428571,0.03125,0.0
Green,0.049107142857142856,0.8526785714285714,0.0,0.09821428571428571
Pink,0.09375,0.7678571428571429,0.13839285714285715,0.0
Orange,0.08482142857142858,0.8705357142857143,0.044642857142857144,0.0
Black,0.0,0.23214285714285715,0.7321428571428571,0.03571428571428571
Gray,0.0,0.8542471042471043,0.0028957528957528956,0.14285714285714285
Blue,0.10267857142857142,0.75,0.14732142857142858,0.0
Yellow,0.07142857142857142,0.8258928571428571,0.10267857142857142,0.0
White,0.0,0.875,0.004464285714285714,0.12053571428571429
