,positive,negative,false_positive,false_negative
Red,0.0,1.0,0.0,0.0
Green,0.0,1.0,0.0,0.0
Pink,0.0,0.75,0.25,0.0
Orange,0.0,1.0,0.0,0.0
Black,0.0,0.0,0.5,0.5
Gray,0.0,1.0,0.0,0.0
Blue,0.0,0.875,0.125,0.0
Yellow,0.0,1.0,0.0,0.0
White,0.0,1.0,0.0,0.0
