,positive,negative,false_positive,false_negative
Red,0.0,1.0,0.0,0.0
Green,0.0,1.0,0.0,0.0
Pink,0.0,0.9583333333333334,0.041666666666666664,0.0
Orange,0.0,1.0,0.0,0.0
Black,0.0,0.20833333333333334,0.7916666666666666,0.0
Gray,0.0,1.0,0.0,0.0
Blue,0.0,0.9583333333333334,0.041666666666666664,0.0
Yellow,0.0,0.0,0.0,1.0
White,0.0,1.0,0.0,0.0
