,positive,negative,false_positive,false_negative
Red,nan,nan,nan,nan
Green,1.0,0.0,0.0,0.0
Pink,1.0,0.0,0.0,0.0
Orange,1.0,0.0,0.0,0.0
Black,1.0,0.0,0.0,0.0
Gray,1.0,0.0,0.0,0.0
Blue,1.0,0.0,0.0,0.0
Yellow,1.0,0.0,0.0,0.0
White,1.0,0.0,0.0,0.0
