edinburgh,505.1508377119063,179.53370675126416
stockholm,1698.7663824724896,127.98220481808266
petrograd,2511.6939129572716,199.36120749479505
riga,2031.8683949638148,215.22320808962013
kobenhavn,1405.3193714682266,355.99846336869246
danzig,1801.869386338852,470.9979676811738
london,695.4948448498066,607.8077228115396
amsterdam,973.0798552592445,617.7214731833053
essen,1197.130613661148,651.4282244473084
berlin,1478.681124219292,695.0487260830771
warszawa,1938.679141469218,671.2557251908397
wilno,2257.9019034400712,595.9112223654208
smolensk,2551.3489144443342,611.7732229602459
moskva,2787.2961732923563,546.3424705065927
brest,400.06508377119064,948.8407356002776
dieppe,667.7363438088629,873.4962327748588
bruxelles,909.6318528799444,758.4967284623774
frankfurt,1165.4066124714982,851.6859819569743
munchen,1327.9921185684543,972.633736492515
paris,810.4943491622881,988.4957370873401
wien,1645.232130464955,1020.2197382769903
kyiv,2372.9014077525526,821.9447308416775
budapest,1784.024635669674,1089.6159908793497
kharkov,2759.5376722514125,970.6509864181619
zurich,1137.6481114305543,1149.0984931099435
venezia,1373.5953702785764,1244.2704966788936
zagreb,1615.490879349658,1279.95999801725
bucuresti,2214.2814018043027,1293.8392485377217
rostov,2870.571676415188,1119.3572419946465
sevastopol,2608.848666600575,1337.4597501734906
sochi,2864.6234261921286,1375.1320015862002
sarajevo,1849.4553881233269,1446.5110042629126
marseille,1060.320858530782,1418.752503221969
roma,1395.405621096461,1502.0280063448004
brindisi,1641.2666303162487,1577.372509170219
pamplona,622.133092098741,1432.6317537424407
madrid,332.6515812431843,1666.5962625161098
barcelona,653.857093288391,1700.303013780113
lisboa,132.3938237335184,1735.9925151184693
cadiz,326.7033310201249,1886.681520769307
palermo,1504.4568751858828,1880.7332705462477
athina,1994.1961435511053,1805.3887677208288
constantinople,2368.9359076038463,1648.7515118469319
smyrna,2246.0054029939524,1874.7850203231883
angora,2585.0556657083375,1809.354267869535
erzurum,2815.0546743333,1741.9407653415287
sofia,2043.7648954099336,1476.2522553782096
