,correctly_labelled,correctly_missed,labelled_wrong,shouldnt_be_labelled,missed
Red,20.0,0.0,0.0,0.0,0.0
Green,0.0,0.0,0.0,0.0,0.0
Pink,24.0,0.0,0.0,0.0,0.0
Orange,23.0,0.0,0.0,0.0,0.0
Black,27.0,0.0,0.0,0.0,0.0
Gray,62.0,0.0,0.0,0.0,9.0
Blue,30.0,0.0,0.0,0.0,0.0
Yellow,36.0,0.0,0.0,0.0,0.0
White,18.0,0.0,0.0,0.0,0.0
