,correctly_labelled,correctly_missed,labelled_wrong,shouldnt_be_labelled,missed
Red,0.0,106.0,0.0,0.0,22.0
Green,0.0,104.0,0.0,0.0,24.0
Pink,0.0,127.0,0.0,1.0,0.0
Orange,0.0,128.0,0.0,0.0,0.0
Black,0.0,53.0,0.0,75.0,0.0
Gray,0.0,592.0,0.0,0.0,0.0
Blue,0.0,105.0,0.0,1.0,22.0
Yellow,0.0,104.0,0.0,0.0,24.0
White,0.0,128.0,0.0,0.0,0.0
