,positive,negative,false_positive,false_negative
Red,0.0,0.828125,0.0,0.171875
Green,0.0,0.8125,0.0,0.1875
Pink,0.0,0.9921875,0.0078125,0.0
Orange,0.0,1.0,0.0,0.0
Black,0.0,0.4140625,0.5859375,0.0
Gray,0.0,1.0,0.0,0.0
Blue,0.0,0.8203125,0.0078125,0.171875
Yellow,0.0,0.8125,0.0,0.1875
White,0.0,1.0,0.0,0.0
