,correctly_labelled,correctly_missed,labelled_wrong,shouldnt_be_labelled,missed
Red,16.0,0.0,0.0,0.0,0.0
Green,29.0,0.0,0.0,0.0,0.0
Pink,23.0,0.0,0.0,0.0,0.0
Orange,29.0,0.0,0.0,0.0,1.0
Black,20.0,0.0,0.0,0.0,0.0
Gray,69.0,0.0,0.0,0.0,1.0
Blue,0.0,0.0,0.0,0.0,0.0
Yellow,13.0,0.0,0.0,0.0,0.0
White,19.0,0.0,0.0,0.0,0.0
