,positive,negative,false_positive,false_negative
Red,1.0,0.0,0.0,0.0
Green,1.0,0.0,0.0,0.0
Pink,1.0,0.0,0.0,0.0
Orange,0.9666666666666667,0.0,0.0,0.03333333333333333
Black,1.0,0.0,0.0,0.0
Gray,0.9857142857142858,0.0,0.0,0.014285714285714285
Blue,nan,nan,nan,nan
Yellow,1.0,0.0,0.0,0.0
White,1.0,0.0,0.0,0.0
